Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2015-09-09,30.42777442932129,31.113085201811618,30.272834586024477,30.849886946932774,34042000
2015-09-10,30.856340408325195,30.99588647705031,30.363713214378556,30.446645592867732,38106000
2015-09-11,31.07583999633789,31.07633632517587,30.661178090440195,30.776885224390238,27470000
2015-09-14,30.9502010345459,31.080309284153184,30.760995553466312,31.07236423386485,34046000
2015-09-15,31.541154861450195,31.717944535805422,30.977014640236888,31.122022220503226,41688000
2015-09-16,31.582866668701172,31.68069648157629,31.401109932008104,31.557540640113444,25730000
2015-09-17,31.9265193939209,32.323798426482874,31.535196307449194,31.672755171761807,45494000
2015-09-18,31.2486572265625,31.78250435833336,31.13791527511004,31.623095659253305,102668000
2015-09-21,31.556053161621094,31.608196105149815,31.084283131298893,31.50440654692814,35770000
2015-09-22,30.92288589477539,31.164234305528524,30.56235226508901,31.136921065656004,51258000
2015-09-23,30.9064998626709,31.232767884495015,30.78930184469384,30.891106090743158,29418000
2015-09-24,31.077329635620117,31.152811398059654,30.41188340303324,30.622442379401473,44802000
2015-09-25,30.390531539916992,31.274483795988576,30.342361117563353,31.274483795988576,43480000
2015-09-28,29.542335510253906,30.52138588481763,29.268708645904713,30.309586063840918,62554000
2015-09-29,29.546306610107422,30.044397203217947,29.310419710310786,29.661021081129398,46190000
2015-09-30,30.214235305786133,30.231119957888616,29.83235005412735,29.958982103318686,48268000
2015-10-01,30.356760025024414,30.396487167964494,29.78864729421853,30.211752448681295,37352000
2015-10-02,31.132455825805664,31.153809333614046,29.951535994002896,30.15365361364445,53696000
2015-10-05,31.855506896972656,31.931983215928287,31.13692312845131,31.385223947825907,36072000
2015-10-06,32.05265426635742,32.24186163525381,31.61018279963673,31.724897273530086,43326000
2015-10-07,31.899702072143555,32.30934764400338,31.39267185755661,32.24136574875749,41854000
2015-10-08,31.74078941345215,32.00349133774603,31.065410905285113,31.850042376357067,43642000
2015-10-09,31.961772918701172,32.07996357428416,31.549990536843932,31.782499725874757,32974000
2015-10-12,32.113731384277344,32.20460879839115,31.73333518422564,31.88628779023641,25504000
2015-10-13,32.39332962036133,32.6670531111118,31.938938623362258,31.938938623362258,36154000
2015-10-14,32.33671188354492,32.74541786256158,32.22199929627389,32.43851613165314,28310000
2015-10-15,32.862117767333984,32.93114536299605,32.50058957118327,32.510523725408305,37714000
2015-10-16,32.88495635986328,33.02251520603865,32.63665557646204,32.97980819873734,32222000
2015-10-19,33.07863235473633,33.11438697223595,32.75484790449789,32.83430218907822,29546000
2015-10-20,32.29301071166992,33.01010358611205,31.990829802129582,32.976334281264414,49964000
2015-10-21,31.91211700439453,32.57060895417675,31.868413546757704,32.48519493172642,35822000
2015-10-22,32.36799240112305,32.66644889797234,31.9816364612227,32.11522088204572,81420000
2015-10-23,34.86143493652344,36.2519210968418,34.83660712684238,36.12777068212659,133078000
2015-10-26,35.39677047729492,35.7131062268987,34.82468519455957,34.839086308236695,54332000
2015-10-27,35.1837272644043,35.4384841348609,34.98806762276063,35.12860445494158,44916000
2015-10-28,35.405208587646484,35.406697574006024,34.91506307273252,35.12612025885117,43578000
2015-10-29,35.60236740112305,35.66890956942242,35.2592147093823,35.283549979380986,29120000
2015-10-30,35.29894256591797,35.656000031725405,35.26119883999853,35.54326897159622,38176000
2015-11-02,35.8104362487793,35.83576417185151,35.05262175944323,35.311353029253,37726000
2015-11-03,35.86259078979492,35.986241099616585,35.493117480774536,35.69871131617602,31308000
2015-11-04,36.158058166503906,36.405862641492774,35.84967126578196,35.85463455394395,34134000
2015-11-05,36.31399154663086,36.72269368840334,36.22559576580086,36.22559576580086,37232000
2015-11-06,36.43864059448242,36.520580317330115,36.103432981811835,36.32640965768146,30232000
2015-11-09,35.99815368652344,36.48581759399499,35.72701038679302,36.26184826512942,41396000
2015-11-10,36.16849136352539,36.28121863357601,35.68082742677865,35.9738243674174,32160000
2015-11-11,36.52008056640625,36.79817623817985,36.26333839880317,36.37408033872511,27328000
2015-11-12,36.31300735473633,36.639273526140016,36.18463623715382,36.30158421207913,36744000
2015-11-13,35.6063346862793,36.30902643417474,35.5929262303502,36.210700283207814,41510000
2015-11-16,36.20027542114258,36.22659221673374,35.32476647711624,35.53681256102797,38118000
2015-11-17,36.018516540527344,36.3435437402673,35.90563772017167,36.2166616265194,30218000
2015-11-18,36.7485237121582,36.81854397198697,36.10294002332847,36.1317460422386,33686000
2015-11-19,36.669559478759766,36.8478362355955,36.620888946641095,36.685945906551545,26542000
2015-11-20,37.57288360595703,37.63843311587148,36.89750504180874,37.07280385255503,44246000
2015-11-23,37.542091369628906,37.87620404478347,37.335504901119776,37.61509338839489,28290000
2015-11-24,37.159706115722656,37.50727646748334,36.630824197380264,37.34443894120362,46662000
2015-11-25,37.153255462646484,37.344444379273114,37.04946589461371,37.1527591337638,22442000
2015-11-27,37.25802993774414,37.41446064496047,37.120471090454295,37.16864150344471,16770000
2015-11-30,36.87763595581055,37.48994278983634,36.81158633643085,37.1860228524669,41952000
2015-12-01,38.091331481933594,38.18617954130079,37.0812417050161,37.101602553104264,42692000
2015-12-02,37.85991287231445,38.53404864581425,37.690077486584656,38.18369733287489,44608000
2015-12-03,37.371253967285156,38.18841195279506,37.0281051268898,38.04017635181826,51812000
2015-12-04,38.07991027832031,38.163338990212004,37.24512304178442,37.39906833795078,55146000
2015-12-07,37.90311813354492,38.17525788959384,37.49789405006138,38.1275837994011,36246000
2015-12-08,37.859413146972656,37.98008923642024,37.453689002845806,37.636936616491276,36590000
